year,sex,age,cohort,race,educ,realinc,wtssall
1972,1,26.0,1946.0,1,18.0,13537.0,0.8893
1972,2,38.0,1934.0,1,12.0,18951.0,0.4446
1972,1,57.0,1915.0,1,12.0,30458.0,1.3339
1972,2,61.0,1911.0,1,14.0,37226.0,0.8893
1972,1,59.0,1913.0,1,12.0,30458.0,0.8893
1972,1,46.0,1926.0,1,8.0,18951.0,0.8893
1972,2,43.0,1929.0,2,8.0,2707.0,0.8893
1972,2,72.0,1900.0,2,12.0,8122.0,0.8893
1972,1,85.0,1887.0,1,16.0,30458.0,0.8893
1972,1,44.0,1928.0,1,12.0,24366.0,0.8893
1972,1,36.0,1936.0,1,10.0,24366.0,0.8893
1972,2,64.0,1908.0,2,3.0,8122.0,0.8893
1972,1,19.0,1953.0,1,11.0,37226.0,1.7786
1972,2,61.0,1911.0,2,9.0,2707.0,0.8893
1972,2,41.0,1931.0,1,12.0,50763.0,0.8893
1972,1,26.0,1946.0,1,16.0,24366.0,0.8893
1972,1,50.0,1922.0,1,16.0,50763.0,0.8893
1972,2,23.0,1949.0,2,12.0,13537.0,0.8893
1972,1,60.0,1912.0,1,10.0,24366.0,1.3339
1972,1,22.0,1950.0,1,15.0,50763.0,1.7786
1972,2,72.0,1900.0,1,16.0,8122.0,0.8893
1972,1,20.0,1952.0,1,12.0,60915.0,1.3339
1972,1,64.0,1908.0,1,15.0,18951.0,0.8893
1972,1,56.0,1916.0,1,12.0,37226.0,0.8893
1972,2,29.0,1943.0,1,13.0,24366.0,0.8893
1972,1,54.0,1918.0,1,16.0,109355.0,1.3339
1972,2,24.0,1948.0,2,14.0,18951.0,0.8893
1972,2,51.0,1921.0,1,13.0,,1.3339
1972,1,24.0,1948.0,1,11.0,24366.0,0.8893
1972,1,20.0,1952.0,1,11.0,8122.0,1.3339
1972,2,27.0,1945.0,1,16.0,8122.0,0.4446
1972,1,20.0,1952.0,1,14.0,60915.0,1.7786
1972,2,54.0,1918.0,1,12.0,30458.0,1.7786
1972,2,26.0,1946.0,1,12.0,24366.0,1.3339
1972,1,58.0,1914.0,1,8.0,60915.0,1.3339
1972,1,45.0,1927.0,1,12.0,37226.0,2.2232
1972,2,53.0,1919.0,1,12.0,37226.0,1.3339
1972,2,31.0,1941.0,1,20.0,18951.0,0.8893
1972,1,19.0,1953.0,2,12.0,2707.0,2.2232
1972,1,55.0,1917.0,1,12.0,30458.0,0.8893
1972,1,19.0,1953.0,1,12.0,43994.0,1.7786
1972,2,29.0,1943.0,1,16.0,,0.8893
1972,2,21.0,1951.0,1,14.0,50763.0,1.7786
1972,2,41.0,1931.0,2,11.0,,1.7786
1972,1,62.0,1910.0,1,8.0,2707.0,0.4446
1972,2,37.0,1935.0,2,10.0,24366.0,0.8893
1972,1,37.0,1935.0,1,11.0,24366.0,0.8893
1972,1,29.0,1943.0,1,13.0,43994.0,0.8893
1972,2,75.0,1897.0,1,7.0,2707.0,0.4446
1972,2,42.0,1930.0,1,11.0,13537.0,1.3339
1972,2,27.0,1945.0,1,16.0,24366.0,1.3339
1972,2,53.0,1919.0,1,6.0,24366.0,1.7786
1972,2,20.0,1952.0,1,12.0,30458.0,1.7786
1972,2,24.0,1948.0,2,12.0,30458.0,0.8893
1972,1,20.0,1952.0,2,11.0,,1.7786
1972,1,45.0,1927.0,2,12.0,30458.0,2.2232
1972,2,36.0,1936.0,2,12.0,24366.0,0.8893
1972,1,65.0,1907.0,1,9.0,13537.0,0.8893
1972,1,31.0,1941.0,1,12.0,8122.0,0.8893
1972,2,53.0,1919.0,1,10.0,43994.0,2.2232
1972,1,29.0,1943.0,1,19.0,30458.0,0.8893
1972,2,59.0,1913.0,2,9.0,8122.0,0.8893
1972,2,65.0,1907.0,1,12.0,50763.0,1.3339
1972,2,48.0,1924.0,1,11.0,30458.0,1.7786
1972,2,61.0,1911.0,1,14.0,,0.8893
1972,2,57.0,1915.0,1,12.0,37226.0,1.3339
1972,1,77.0,1895.0,1,7.0,13537.0,0.8893
1972,2,46.0,1926.0,1,14.0,24366.0,0.8893
1972,1,38.0,1934.0,1,10.0,24366.0,0.8893
1972,1,29.0,1943.0,1,16.0,24366.0,0.8893
1972,1,22.0,1950.0,1,12.0,37226.0,0.8893
1972,1,21.0,1951.0,1,12.0,37226.0,1.3339
1972,2,44.0,1928.0,1,12.0,,0.8893
1972,1,30.0,1942.0,2,11.0,13537.0,0.8893
1972,2,20.0,1952.0,1,13.0,,1.3339
1972,2,22.0,1950.0,2,12.0,60915.0,1.7786
1972,1,48.0,1924.0,2,6.0,43994.0,1.3339
1972,1,73.0,1899.0,1,8.0,13537.0,1.3339
