year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall,age2,educ2
1972,26.0,1946.0,1,1,18.0,13537.0,2.0,,0.8893,676.0,324.0
1972,38.0,1934.0,2,1,12.0,18951.0,1.0,,0.4446,1444.0,144.0
1972,57.0,1915.0,1,1,12.0,30458.0,1.0,,1.3339,3249.0,144.0
1972,61.0,1911.0,2,1,14.0,37226.0,1.0,,0.8893,3721.0,196.0
1972,59.0,1913.0,1,1,12.0,30458.0,2.0,,0.8893,3481.0,144.0
1972,46.0,1926.0,1,1,8.0,18951.0,2.0,,0.8893,2116.0,64.0
1972,43.0,1929.0,2,2,8.0,2707.0,1.0,,0.8893,1849.0,64.0
1972,72.0,1900.0,2,2,12.0,8122.0,,,0.8893,5184.0,144.0
1972,85.0,1887.0,1,1,16.0,30458.0,2.0,,0.8893,7225.0,256.0
1972,44.0,1928.0,1,1,12.0,24366.0,1.0,,0.8893,1936.0,144.0
1972,36.0,1936.0,1,1,10.0,24366.0,2.0,,0.8893,1296.0,100.0
1972,64.0,1908.0,2,2,3.0,8122.0,1.0,,0.8893,4096.0,9.0
1972,19.0,1953.0,1,1,11.0,37226.0,2.0,,1.7786,361.0,121.0
1972,61.0,1911.0,2,2,9.0,2707.0,1.0,,0.8893,3721.0,81.0
1972,41.0,1931.0,2,1,12.0,50763.0,2.0,,0.8893,1681.0,144.0
1972,26.0,1946.0,1,1,16.0,24366.0,1.0,,0.8893,676.0,256.0
1972,50.0,1922.0,1,1,16.0,50763.0,2.0,,0.8893,2500.0,256.0
1972,23.0,1949.0,2,2,12.0,13537.0,2.0,,0.8893,529.0,144.0
1972,60.0,1912.0,1,1,10.0,24366.0,1.0,,1.3339,3600.0,100.0
1972,22.0,1950.0,1,1,15.0,50763.0,1.0,,1.7786,484.0,225.0
1972,72.0,1900.0,2,1,16.0,8122.0,,,0.8893,5184.0,256.0
1972,20.0,1952.0,1,1,12.0,60915.0,1.0,,1.3339,400.0,144.0
1972,64.0,1908.0,1,1,15.0,18951.0,1.0,,0.8893,4096.0,225.0
1972,56.0,1916.0,1,1,12.0,37226.0,2.0,,0.8893,3136.0,144.0
1972,29.0,1943.0,2,1,13.0,24366.0,1.0,,0.8893,841.0,169.0
1972,54.0,1918.0,1,1,16.0,109355.0,1.0,,1.3339,2916.0,256.0
1972,24.0,1948.0,2,2,14.0,18951.0,1.0,,0.8893,576.0,196.0
1972,51.0,1921.0,2,1,13.0,,2.0,,1.3339,2601.0,169.0
